3050.0000;0000;3051.0000;0001;3052.0000;0002;3053.0000;0003;
3054.0000;0004;3055.0000;0005;3056.0000;0006;3057.0000;0007;
3058.0000;0008;3059.0000;0009;3060.0000;0010;3061.0000;0011;
3062.0000;0012;3063.0000;0013;3064.0000;0014;3065.0000;0015;
3066.0000;0016;3067.0000;0017;3068.0000;0018;3069.0000;0019;
3070.0000;0020;3071.0000;0021;3072.0000;0022;3073.0000;0023;
3074.0000;0024;3075.0000;0025;3076.0000;0026;3077.0000;0027;
3078.0000;0028;3079.0000;0029;3080.0000;0030;3081.0000;0031;
3082.0000;0032;3083.0000;0033;3084.0000;0034;3085.0000;0035;
3086.0000;0036;3087.0000;0037;3088.0000;0038;3089.0000;0039;
3090.0000;0040;3091.0000;0041;3092.0000;0042;3093.0000;0043;
3094.0000;0044;3095.0000;0045;3096.0000;0046;3097.0000;0047;
3098.0000;0048;3099.0000;0049;3100.0000;0050;3101.0000;0051;
3102.0000;0052;3103.0000;0053;3104.0000;0054;3105.0000;0055;
3106.0000;0056;3107.0000;0057;3108.0000;0058;3109.0000;0059;
3110.0000;0060;3111.0000;0061;3112.0000;0062;3113.0000;0063;
3114.0000;0064;3115.0000;0065;3116.0000;0066;3117.0000;0067;
3118.0000;0068;3119.0000;0069;3120.0000;0070;3121.0000;0071;
3122.0000;0072;3123.0000;0073;3124.0000;0074;3125.0000;0075;
3126.0000;0076;3127.0000;0077;3128.0000;0078;3129.0000;0079;
3130.0000;0080;3131.0000;0081;3132.0000;0082;3133.0000;0083;
3134.0000;0084;3135.0000;0085;3136.0000;0086;3137.0000;0087;
3138.0000;0088;3139.0000;0089;3140.0000;0090;3141.0000;0091;
3142.0000;0092;3143.0000;0093;3144.0000;0094;3145.0000;0095;
3146.0000;0096;3147.0000;0097;3148.0000;0098;3149.0000;0099;
